iteration,send_us,recv_us,rtt_us
0,22841963351,22841965353,2002
1,22841996689,22841998706,2017
2,22842030030,22842032005,1975
3,22842063346,22842065316,1970
4,22842094510,22842096488,1978
5,22842127796,22842129715,1919
6,22842161000,22842162922,1922
7,22842194202,22842196115,1913
8,22842223418,22842225392,1974
9,22842256541,22842258513,1972
10,22842286688,22842288614,1926
11,22842319907,22842321820,1913
12,22842349859,22842351778,1919
13,22842383462,22842389945,6483
14,22842420139,22842422119,1980
15,22842453424,22842455400,1976
16,22842486690,22842488664,1974
17,22842519279,22842521084,1805
18,22842547055,22842548976,1921
19,22842580306,22842582125,1819
20,22842613448,22842615364,1916
21,22842644486,22842646418,1932
22,22842677726,22842679397,1671
23,22842710700,22842712645,1945
24,22842742361,22842744324,1963
25,22842774471,22842776402,1931
26,22842803435,22842805409,1974
27,22842836694,22842838633,1939
28,22842869958,22842871582,1624
29,22842902090,22842904072,1982
30,22842935378,22842937322,1944
31,22842968617,22842970541,1924
32,22843001847,22843003790,1943
33,22843035137,22843037126,1989
34,22843068450,22843070432,1982
35,22843101750,22843103700,1950
36,22843134380,22843136349,1969
37,22843166564,22843168538,1974
38,22843199861,22843201847,1986
39,22843233172,22843235141,1969
40,22843265816,22843267793,1977
41,22843299123,22843301094,1971
42,22843327833,22843329875,2042
43,22843357670,22843359597,1927
44,22843386698,22843388650,1952
45,22843420014,22843421988,1974
46,22843453297,22843455222,1925
47,22843485613,22843487549,1936
48,22843518907,22843520953,2046
49,22843552314,22843554291,1977
50,22843580279,22843582007,1728
51,22843613374,22843615443,2069
52,22843644494,22843646424,1930
53,22843673996,22843676405,2409
54,22843707709,22843709633,1924
55,22843740959,22843742900,1941
56,22843769992,22843771931,1939
57,22843803237,22843805224,1987
58,22843836552,22843838526,1974
59,22843869850,22843871821,1971
60,22843903143,22843905118,1975
61,22843934043,22843936000,1957
62,22843967321,22843969300,1979
63,22844000600,22844002577,1977
64,22844033879,22844035836,1957
65,22844063342,22844065310,1968
66,22844092560,22844094577,2017
67,22844125344,22844127329,1985
68,22844158277,22844160258,1981
69,22844186777,22844188798,2021
70,22844218126,22844220064,1938
71,22844251399,22844253375,1976
72,22844283920,22844285852,1932
73,22844317165,22844319133,1968
74,22844350447,22844352418,1971
75,22844383744,22844385771,2027
76,22844415280,22844417387,2107
77,22844444521,22844446514,1993
78,22844477855,22844479926,2071
79,22844508354,22844510343,1989
80,22844540391,22844542372,1981
81,22844569310,22844571918,2608
82,22844603239,22844604887,1648
83,22844636216,22844638206,1990
84,22844665983,22844667971,1988
85,22844699299,22844701277,1978
86,22844729125,22844731128,2003
87,22844762477,22844764429,1952
88,22844795753,22844797701,1948
89,22844829007,22844830998,1991
90,22844862308,22844864242,1934
91,22844895568,22844897528,1960
92,22844928877,22844930827,1950
93,22844962145,22844964120,1975
94,22844991458,22844993445,1987
95,22845022595,22845024791,2196
96,22845052394,22845054362,1968
97,22845083755,22845085711,1956
98,22845117042,22845119034,1992
99,22845147051,22845149011,1960
100,22845180333,22845182283,1950
101,22845213596,22845215545,1949
102,22845246889,22845248842,1953
103,22845280144,22845282113,1969
104,22845313422,22845315390,1968
105,22845346704,22845348648,1944
106,22845379991,22845381987,1996
107,22845408364,22845410392,2028
108,22845439514,22845441498,1984
109,22845472835,22845474820,1985
110,22845505728,22845507719,1991
111,22845536706,22845538700,1994
112,22845570057,22845572100,2043
113,22845603394,22845605382,1988
114,22845636260,22845638251,1991
115,22845665350,22845667304,1954
116,22845698636,22845700615,1979
117,22845731930,22845733881,1951
118,22845763723,22845765697,1974
119,22845793112,22845795038,1926
120,22845826375,22845828374,1999
121,22845859722,22845861717,1995
122,22845893047,22845894933,1886
123,22845926269,22845928253,1984
124,22845959593,22845961576,1983
125,22845989675,22845991660,1985
126,22846020068,22846022061,1993
127,22846053529,22846055519,1990
128,22846086756,22846088968,2212
129,22846120062,22846122053,1991
130,22846153064,22846154693,1629
131,22846185654,22846187648,1994
132,22846218987,22846220927,1940
133,22846252235,22846254177,1942
134,22846285472,22846287414,1942
135,22846318727,22846320679,1952
136,22846350283,22846352248,1965
